year,state,county_name,candidate,candidatevotes,rn
2008,OHIO,MEDINA,JOHN MCCAIN,48189,1
2008,OHIO,MEDINA,BARACK OBAMA,40924,2
2012,OHIO,MEDINA,MITT ROMNEY,50418,1
2012,OHIO,MEDINA,BARACK OBAMA,38785,2
2016,OHIO,MEDINA,DONALD TRUMP,54810,1
2016,OHIO,MEDINA,HILLARY CLINTON,32182,2
2020,OHIO,MEDINA,DONALD J TRUMP,64598,1
2020,OHIO,MEDINA,JOSEPH R BIDEN JR,39800,2
2000,MINNESOTA,MEEKER,GEORGE W. BUSH,5520,1
2000,MINNESOTA,MEEKER,AL GORE,4402,2
2004,MINNESOTA,MEEKER,GEORGE W. BUSH,6854,1
2004,MINNESOTA,MEEKER,JOHN KERRY,5292,2
2008,MINNESOTA,MEEKER,JOHN MCCAIN,6737,1
2008,MINNESOTA,MEEKER,BARACK OBAMA,5380,2
2012,MINNESOTA,MEEKER,MITT ROMNEY,6913,1
2012,MINNESOTA,MEEKER,BARACK OBAMA,4969,2
2016,MINNESOTA,MEEKER,DONALD TRUMP,8104,1
2016,MINNESOTA,MEEKER,HILLARY CLINTON,3191,2
2020,MINNESOTA,MEEKER,DONALD J TRUMP,9359,1
2020,MINNESOTA,MEEKER,JOSEPH R BIDEN JR,3867,2
2000,OHIO,MEIGS,GEORGE W. BUSH,5750,1
2000,OHIO,MEIGS,AL GORE,3674,2
2004,OHIO,MEIGS,GEORGE W. BUSH,6273,1
2004,OHIO,MEIGS,JOHN KERRY,4437,2
2008,OHIO,MEIGS,JOHN MCCAIN,6015,1
2008,OHIO,MEIGS,BARACK OBAMA,4094,2
2012,OHIO,MEIGS,MITT ROMNEY,5895,1
2012,OHIO,MEIGS,BARACK OBAMA,4027,2
2016,OHIO,MEIGS,DONALD TRUMP,7309,1
2016,TENNESSEE,MEIGS,DONALD TRUMP,3342,2
2020,OHIO,MEIGS,DONALD J TRUMP,8316,1
2020,TENNESSEE,MEIGS,DONALD J TRUMP,4467,2
2000,SOUTH DAKOTA,MELLETTE,GEORGE W. BUSH,495,1
2000,SOUTH DAKOTA,MELLETTE,AL GORE,222,2
2004,SOUTH DAKOTA,MELLETTE,GEORGE W. BUSH,553,1
2004,SOUTH DAKOTA,MELLETTE,JOHN KERRY,361,2
2008,SOUTH DAKOTA,MELLETTE,JOHN MCCAIN,445,1
2008,SOUTH DAKOTA,MELLETTE,BARACK OBAMA,373,2
2012,SOUTH DAKOTA,MELLETTE,MITT ROMNEY,381,1
2012,SOUTH DAKOTA,MELLETTE,BARACK OBAMA,375,2
2016,SOUTH DAKOTA,MELLETTE,DONALD TRUMP,402,1
2016,SOUTH DAKOTA,MELLETTE,HILLARY CLINTON,238,2
2020,SOUTH DAKOTA,MELLETTE,DONALD J TRUMP,449,1
2020,SOUTH DAKOTA,MELLETTE,JOSEPH R BIDEN JR,298,2
2000,ILLINOIS,MENARD,GEORGE W. BUSH,3862,1
2000,ILLINOIS,MENARD,AL GORE,2164,2
2004,ILLINOIS,MENARD,GEORGE W. BUSH,4408,1
2004,ILLINOIS,MENARD,JOHN KERRY,2137,2
2008,ILLINOIS,MENARD,JOHN MCCAIN,3672,1
2008,ILLINOIS,MENARD,BARACK OBAMA,2706,2
2012,ILLINOIS,MENARD,MITT ROMNEY,3948,1
2012,ILLINOIS,MENARD,BARACK OBAMA,2100,2
2016,ILLINOIS,MENARD,DONALD TRUMP,4231,1
2016,ILLINOIS,MENARD,HILLARY CLINTON,1817,2
2020,ILLINOIS,MENARD,DONALD J TRUMP,4764,1
2020,ILLINOIS,MENARD,JOSEPH R BIDEN JR,2022,2
2000,CALIFORNIA,MENDOCINO,AL GORE,16634,1
2000,CALIFORNIA,MENDOCINO,GEORGE W. BUSH,12272,2
2004,CALIFORNIA,MENDOCINO,JOHN KERRY,24385,1
2004,CALIFORNIA,MENDOCINO,GEORGE W. BUSH,12955,2
2008,CALIFORNIA,MENDOCINO,BARACK OBAMA,27843,1
2008,CALIFORNIA,MENDOCINO,JOHN MCCAIN,10721,2
2012,CALIFORNIA,MENDOCINO,BARACK OBAMA,23193,1
2012,CALIFORNIA,MENDOCINO,MITT ROMNEY,9658,2
2016,CALIFORNIA,MENDOCINO,HILLARY CLINTON,22079,1
2016,CALIFORNIA,MENDOCINO,DONALD TRUMP,10888,2
2020,CALIFORNIA,MENDOCINO,JOSEPH R BIDEN JR,28782,1
2020,CALIFORNIA,MENDOCINO,DONALD J TRUMP,13267,2
2000,KENTUCKY,MENIFEE,GEORGE W. BUSH,1170,1
2000,KENTUCKY,MENIFEE,AL GORE,1038,2
2004,KENTUCKY,MENIFEE,JOHN KERRY,1284,1
2004,KENTUCKY,MENIFEE,GEORGE W. BUSH,1215,2
2008,KENTUCKY,MENIFEE,BARACK OBAMA,1276,1
2008,KENTUCKY,MENIFEE,JOHN MCCAIN,1155,2
2012,KENTUCKY,MENIFEE,MITT ROMNEY,1484,1
2012,KENTUCKY,MENIFEE,BARACK OBAMA,1048,2
2016,KENTUCKY,MENIFEE,DONALD TRUMP,2010,1
2016,KENTUCKY,MENIFEE,HILLARY CLINTON,700,2
2020,KENTUCKY,MENIFEE,DONALD J TRUMP,2311,1
2020,KENTUCKY,MENIFEE,JOSEPH R BIDEN JR,750,2
2000,MICHIGAN,MENOMINEE,GEORGE W. BUSH,5529,1
2000,MICHIGAN,MENOMINEE,AL GORE,4597,2
2004,MICHIGAN,MENOMINEE,GEORGE W. BUSH,5942,1
2004,MICHIGAN,MENOMINEE,JOHN KERRY,5326,2
2008,MICHIGAN,MENOMINEE,BARACK OBAMA,5981,1
2008,MICHIGAN,MENOMINEE,JOHN MCCAIN,4855,2
2012,MICHIGAN,MENOMINEE,MITT ROMNEY,5564,1
2012,MICHIGAN,MENOMINEE,BARACK OBAMA,5242,2
2016,MICHIGAN,MENOMINEE,DONALD TRUMP,6702,1
2016,MICHIGAN,MENOMINEE,HILLARY CLINTON,3539,2
2020,MICHIGAN,MENOMINEE,DONALD J TRUMP,8117,1
2020,MICHIGAN,MENOMINEE,JOSEPH R BIDEN JR,4316,2
2000,CALIFORNIA,MERCED,GEORGE W. BUSH,26102,1
2000,CALIFORNIA,MERCED,AL GORE,22726,2
2004,CALIFORNIA,MERCED,GEORGE W. BUSH,32773,1
2004,CALIFORNIA,MERCED,JOHN KERRY,24491,2
2008,CALIFORNIA,MERCED,BARACK OBAMA,34031,1
2008,CALIFORNIA,MERCED,JOHN MCCAIN,28704,2
2012,CALIFORNIA,MERCED,BARACK OBAMA,33005,1
2012,CALIFORNIA,MERCED,MITT ROMNEY,27581,2
2016,CALIFORNIA,MERCED,HILLARY CLINTON,37317,1
2016,CALIFORNIA,MERCED,DONALD TRUMP,28725,2
2020,CALIFORNIA,MERCED,JOSEPH R BIDEN JR,48991,1
2020,CALIFORNIA,MERCED,DONALD J TRUMP,39397,2
2000,NEW JERSEY,MERCER,AL GORE,83256,1
2000,NEW JERSEY,MERCER,GEORGE W. BUSH,46670,2
2004,NEW JERSEY,MERCER,JOHN KERRY,91580,1
2004,NEW JERSEY,MERCER,GEORGE W. BUSH,56604,2
2008,NEW JERSEY,MERCER,BARACK OBAMA,107926,1
2008,NEW JERSEY,MERCER,JOHN MCCAIN,50223,2
2012,NEW JERSEY,MERCER,BARACK OBAMA,104377,1
2012,NEW JERSEY,MERCER,MITT ROMNEY,47355,2
2016,NEW JERSEY,MERCER,HILLARY CLINTON,104775,1
2016,NEW JERSEY,MERCER,DONALD TRUMP,46193,2
2020,NEW JERSEY,MERCER,JOSEPH R BIDEN JR,122532,1
2020,NEW JERSEY,MERCER,DONALD J TRUMP,51641,2
2000,GEORGIA,MERIWETHER,AL GORE,3441,1
2000,GEORGIA,MERIWETHER,GEORGE W. BUSH,3162,2
2004,GEORGIA,MERIWETHER,GEORGE W. BUSH,4402,1
2004,GEORGIA,MERIWETHER,JOHN KERRY,3709,2
2008,GEORGIA,MERIWETHER,JOHN MCCAIN,4982,1
2008,GEORGIA,MERIWETHER,BARACK OBAMA,4465,2
2012,GEORGIA,MERIWETHER,MITT ROMNEY,4856,1
2012,GEORGIA,MERIWETHER,BARACK OBAMA,4331,2
2016,GEORGIA,MERIWETHER,DONALD TRUMP,5222,1
2016,GEORGIA,MERIWETHER,HILLARY CLINTON,3804,2
2020,GEORGIA,MERIWETHER,DONALD J TRUMP,3312,1
2020,GEORGIA,MERIWETHER,DONALD J TRUMP,2230,2
2000,NEBRASKA,MERRICK,GEORGE W. BUSH,2380,1
2000,NEBRASKA,MERRICK,AL GORE,848,2
2004,NEBRASKA,MERRICK,GEORGE W. BUSH,2771,1
2004,NEBRASKA,MERRICK,JOHN KERRY,833,2
2008,NEBRASKA,MERRICK,JOHN MCCAIN,2375,1
2008,NEBRASKA,MERRICK,BARACK OBAMA,986,2
2012,NEBRASKA,MERRICK,MITT ROMNEY,2490,1
2012,NEBRASKA,MERRICK,BARACK OBAMA,925,2
2016,NEBRASKA,MERRICK,DONALD TRUMP,2926,1
2016,NEBRASKA,MERRICK,HILLARY CLINTON,602,2
2020,NEBRASKA,MERRICK,DONALD J TRUMP,3419,1
2020,NEBRASKA,MERRICK,JOSEPH R BIDEN JR,743,2
2000,NEW HAMPSHIRE,MERRIMACK,AL GORE,30622,1
2000,NEW HAMPSHIRE,MERRIMACK,GEORGE W. BUSH,30028,2
2004,NEW HAMPSHIRE,MERRIMACK,JOHN KERRY,39975,1
2004,NEW HAMPSHIRE,MERRIMACK,GEORGE W. BUSH,36060,2
2008,NEW HAMPSHIRE,MERRIMACK,BARACK OBAMA,45078,1
2008,NEW HAMPSHIRE,MERRIMACK,JOHN MCCAIN,34010,2
2012,NEW HAMPSHIRE,MERRIMACK,BARACK OBAMA,44756,1
2012,NEW HAMPSHIRE,MERRIMACK,MITT ROMNEY,34524,2
2016,NEW HAMPSHIRE,MERRIMACK,HILLARY CLINTON,40198,1
2016,NEW HAMPSHIRE,MERRIMACK,DONALD TRUMP,37674,2
2020,NEW HAMPSHIRE,MERRIMACK,JOSEPH R BIDEN JR,48533,1
2020,NEW HAMPSHIRE,MERRIMACK,DONALD J TRUMP,39711,2
2000,COLORADO,MESA,GEORGE W. BUSH,32396,1
2000,COLORADO,MESA,AL GORE,15465,2
2004,COLORADO,MESA,GEORGE W. BUSH,41539,1
2004,COLORADO,MESA,JOHN KERRY,19564,2
2008,COLORADO,MESA,JOHN MCCAIN,44578,1
2008,COLORADO,MESA,BARACK OBAMA,24008,2
2012,COLORADO,MESA,MITT ROMNEY,47472,1
2012,COLORADO,MESA,BARACK OBAMA,23846,2
2016,COLORADO,MESA,DONALD TRUMP,49779,1
2016,COLORADO,MESA,HILLARY CLINTON,21729,2
2020,COLORADO,MESA,DONALD J TRUMP,56894,1
2020,COLORADO,MESA,JOSEPH R BIDEN JR,31536,2
2000,KENTUCKY,METCALFE,GEORGE W. BUSH,2476,1
2000,KENTUCKY,METCALFE,AL GORE,1318,2
2004,KENTUCKY,METCALFE,GEORGE W. BUSH,2645,1
2004,KENTUCKY,METCALFE,JOHN KERRY,1472,2
2008,KENTUCKY,METCALFE,JOHN MCCAIN,2734,1
2008,KENTUCKY,METCALFE,BARACK OBAMA,1350,2
2012,KENTUCKY,METCALFE,MITT ROMNEY,2676,1
2012,KENTUCKY,METCALFE,BARACK OBAMA,1425,2
2016,KENTUCKY,METCALFE,DONALD TRUMP,3491,1
2016,KENTUCKY,METCALFE,HILLARY CLINTON,976,2
2020,KENTUCKY,METCALFE,DONALD J TRUMP,3959,1
2020,KENTUCKY,METCALFE,JOSEPH R BIDEN JR,975,2
2000,OHIO,MIAMI,GEORGE W. BUSH,26037,1
2000,OHIO,MIAMI,AL GORE,15584,2
2004,OHIO,MIAMI,GEORGE W. BUSH,34005,1
2004,OHIO,MIAMI,JOHN KERRY,17611,2
2008,OHIO,MIAMI,JOHN MCCAIN,33417,1
2008,OHIO,MIAMI,BARACK OBAMA,18372,2
2012,OHIO,MIAMI,MITT ROMNEY,34606,1
2012,OHIO,MIAMI,BARACK OBAMA,16383,2
2016,OHIO,MIAMI,DONALD TRUMP,37079,1
2016,OHIO,MIAMI,HILLARY CLINTON,13120,2
2020,OHIO,MIAMI,DONALD J TRUMP,41371,1
2020,OHIO,MIAMI,JOSEPH R BIDEN JR,15663,2
2000,FLORIDA,MIAMI-DADE,AL GORE,328808,1
2000,FLORIDA,MIAMI-DADE,GEORGE W. BUSH,289533,2
2004,FLORIDA,MIAMI-DADE,JOHN KERRY,409732,1
2004,FLORIDA,MIAMI-DADE,GEORGE W. BUSH,361095,2
2008,FLORIDA,MIAMI-DADE,BARACK OBAMA,499831,1
2008,FLORIDA,MIAMI-DADE,JOHN MCCAIN,360551,2
2012,FLORIDA,MIAMI-DADE,BARACK OBAMA,541440,1
2012,FLORIDA,MIAMI-DADE,MITT ROMNEY,332981,2
2016,FLORIDA,MIAMI-DADE,HILLARY CLINTON,624146,1
2016,FLORIDA,MIAMI-DADE,DONALD TRUMP,333999,2
2020,FLORIDA,MIAMI-DADE,JOSEPH R BIDEN JR,617864,1
2020,FLORIDA,MIAMI-DADE,DONALD J TRUMP,532833,2
2000,MASSACHUSETTS,MIDDLESEX,AL GORE,404043,1
2000,MASSACHUSETTS,MIDDLESEX,GEORGE W. BUSH,198914,2
2004,MASSACHUSETTS,MIDDLESEX,JOHN KERRY,440862,1
2004,MASSACHUSETTS,MIDDLESEX,GEORGE W. BUSH,237815,2
2008,MASSACHUSETTS,MIDDLESEX,BARACK OBAMA,464484,1
2008,MASSACHUSETTS,MIDDLESEX,JOHN MCCAIN,245769,2
2012,MASSACHUSETTS,MIDDLESEX,BARACK OBAMA,471804,1
2012,MASSACHUSETTS,MIDDLESEX,MITT ROMNEY,267321,2
2016,MASSACHUSETTS,MIDDLESEX,HILLARY CLINTON,520360,1
2016,MASSACHUSETTS,MIDDLESEX,DONALD TRUMP,219793,2
2020,MASSACHUSETTS,MIDDLESEX,JOSEPH R BIDEN JR,617196,1
2020,MASSACHUSETTS,MIDDLESEX,DONALD J TRUMP,226956,2
2000,TEXAS,MIDLAND,GEORGE W. BUSH,31514,1
2000,MICHIGAN,MIDLAND,GEORGE W. BUSH,21887,2
2004,TEXAS,MIDLAND,GEORGE W. BUSH,36585,1
2004,MICHIGAN,MIDLAND,GEORGE W. BUSH,24369,2
2008,TEXAS,MIDLAND,JOHN MCCAIN,36155,1
2008,MICHIGAN,MIDLAND,JOHN MCCAIN,22263,2
2012,TEXAS,MIDLAND,MITT ROMNEY,35689,1
2012,MICHIGAN,MIDLAND,MITT ROMNEY,23919,2
2016,TEXAS,MIDLAND,DONALD TRUMP,36973,1
2016,MICHIGAN,MIDLAND,DONALD TRUMP,23846,2
2020,TEXAS,MIDLAND,DONALD J TRUMP,45624,1
2020,MICHIGAN,MIDLAND,DONALD J TRUMP,27675,2
2000,PENNSYLVANIA,MIFFLIN,GEORGE W. BUSH,9400,1
2000,PENNSYLVANIA,MIFFLIN,AL GORE,4835,2
2004,PENNSYLVANIA,MIFFLIN,GEORGE W. BUSH,11726,1
2004,PENNSYLVANIA,MIFFLIN,JOHN KERRY,4889,2
2008,PENNSYLVANIA,MIFFLIN,JOHN MCCAIN,10929,1
2008,PENNSYLVANIA,MIFFLIN,BARACK OBAMA,5375,2
2012,PENNSYLVANIA,MIFFLIN,MITT ROMNEY,11939,1
2012,PENNSYLVANIA,MIFFLIN,BARACK OBAMA,4273,2
2016,PENNSYLVANIA,MIFFLIN,DONALD TRUMP,14094,1
2016,PENNSYLVANIA,MIFFLIN,HILLARY CLINTON,3877,2
2020,PENNSYLVANIA,MIFFLIN,DONALD J TRUMP,16670,1
2020,PENNSYLVANIA,MIFFLIN,JOSEPH R BIDEN JR,4603,2
2000,TEXAS,MILAM,GEORGE W. BUSH,4706,1
2000,TEXAS,MILAM,AL GORE,3429,2
2004,TEXAS,MILAM,GEORGE W. BUSH,5291,1
2004,TEXAS,MILAM,JOHN KERRY,3445,2
2008,TEXAS,MILAM,JOHN MCCAIN,5217,1
2008,TEXAS,MILAM,BARACK OBAMA,3044,2
2012,TEXAS,MILAM,MITT ROMNEY,5481,1
2012,TEXAS,MILAM,BARACK OBAMA,2636,2
2016,TEXAS,MILAM,DONALD TRUMP,6364,1
2016,TEXAS,MILAM,HILLARY CLINTON,2051,2
2020,TEXAS,MILAM,DONALD J TRUMP,7984,1
2020,TEXAS,MILAM,JOSEPH R BIDEN JR,2496,2
2000,UTAH,MILLARD,GEORGE W. BUSH,3850,1
2000,UTAH,MILLARD,AL GORE,696,2
2004,UTAH,MILLARD,GEORGE W. BUSH,4084,1
2004,UTAH,MILLARD,JOHN KERRY,626,2
2008,UTAH,MILLARD,JOHN MCCAIN,3653,1
2008,UTAH,MILLARD,BARACK OBAMA,758,2
2012,UTAH,MILLARD,MITT ROMNEY,4478,1
2012,UTAH,MILLARD,BARACK OBAMA,431,2
2016,UTAH,MILLARD,DONALD TRUMP,3860,1
2016,UTAH,MILLARD,OTHER,951,2
2020,UTAH,MILLARD,DONALD J TRUMP,5404,1
2020,UTAH,MILLARD,JOSEPH R BIDEN JR,624,2
2000,MINNESOTA,MILLE LACS,GEORGE W. BUSH,5223,1
2000,MINNESOTA,MILLE LACS,AL GORE,4376,2
2004,MINNESOTA,MILLE LACS,GEORGE W. BUSH,7194,1
2004,MINNESOTA,MILLE LACS,JOHN KERRY,5677,2
2008,MINNESOTA,MILLE LACS,JOHN MCCAIN,7049,1
2008,MINNESOTA,MILLE LACS,BARACK OBAMA,6072,2
2012,MINNESOTA,MILLE LACS,MITT ROMNEY,6951,1
2012,MINNESOTA,MILLE LACS,BARACK OBAMA,5829,2
2016,MINNESOTA,MILLE LACS,DONALD TRUMP,8340,1
2016,MINNESOTA,MILLE LACS,HILLARY CLINTON,3710,2
2020,MINNESOTA,MILLE LACS,DONALD J TRUMP,9952,1
2020,MINNESOTA,MILLE LACS,JOSEPH R BIDEN JR,4404,2
2000,ARKANSAS,MILLER,GEORGE W. BUSH,7276,1
2000,ARKANSAS,MILLER,AL GORE,6278,2
2004,ARKANSAS,MILLER,GEORGE W. BUSH,8448,1
2004,MISSOURI,MILLER,GEORGE W. BUSH,7797,2
2008,ARKANSAS,MILLER,JOHN MCCAIN,9913,1
2008,MISSOURI,MILLER,JOHN MCCAIN,7797,2
2012,ARKANSAS,MILLER,MITT ROMNEY,10622,1
2012,MISSOURI,MILLER,MITT ROMNEY,8099,2
2016,ARKANSAS,MILLER,DONALD TRUMP,11294,1
2016,MISSOURI,MILLER,DONALD TRUMP,9285,2
2020,MISSOURI,MILLER,DONALD J TRUMP,10176,1
2020,ARKANSAS,MILLER,DONALD J TRUMP,8789,2
2000,IOWA,MILLS,GEORGE W. BUSH,3684,1
2000,IOWA,MILLS,AL GORE,2039,2
2004,IOWA,MILLS,GEORGE W. BUSH,4556,1
2004,IOWA,MILLS,JOHN KERRY,2308,2
2008,IOWA,MILLS,JOHN MCCAIN,4183,1
2008,IOWA,MILLS,BARACK OBAMA,2976,2
2012,IOWA,MILLS,MITT ROMNEY,4216,1
2012,IOWA,MILLS,BARACK OBAMA,2848,2
2016,IOWA,MILLS,DONALD TRUMP,5067,1
2016,IOWA,MILLS,HILLARY CLINTON,2090,2
2020,IOWA,MILLS,DONALD J TRUMP,3160,1
2020,IOWA,MILLS,DONALD J TRUMP,2456,2
2000,WISCONSIN,MILWAUKEE,AL GORE,252329,1
2000,WISCONSIN,MILWAUKEE,GEORGE W. BUSH,163491,2
2004,WISCONSIN,MILWAUKEE,JOHN KERRY,297653,1
2004,WISCONSIN,MILWAUKEE,GEORGE W. BUSH,180287,2
2008,WISCONSIN,MILWAUKEE,BARACK OBAMA,319819,1
2008,WISCONSIN,MILWAUKEE,JOHN MCCAIN,149445,2
2012,WISCONSIN,MILWAUKEE,BARACK OBAMA,332438,1
2012,WISCONSIN,MILWAUKEE,MITT ROMNEY,154924,2
2016,WISCONSIN,MILWAUKEE,HILLARY CLINTON,288797,1
2016,WISCONSIN,MILWAUKEE,DONALD TRUMP,125846,2
2020,WISCONSIN,MILWAUKEE,JOSEPH R BIDEN JR,317270,1
2020,WISCONSIN,MILWAUKEE,DONALD J TRUMP,134357,2
2000,SOUTH DAKOTA,MINER,GEORGE W. BUSH,724,1
2000,SOUTH DAKOTA,MINER,AL GORE,523,2
2004,SOUTH DAKOTA,MINER,GEORGE W. BUSH,810,1
2004,SOUTH DAKOTA,MINER,JOHN KERRY,641,2
2008,SOUTH DAKOTA,MINER,BARACK OBAMA,605,1
2008,SOUTH DAKOTA,MINER,JOHN MCCAIN,577,2
2012,SOUTH DAKOTA,MINER,MITT ROMNEY,636,1
2012,SOUTH DAKOTA,MINER,BARACK OBAMA,479,2
2016,SOUTH DAKOTA,MINER,DONALD TRUMP,706,1
2016,SOUTH DAKOTA,MINER,HILLARY CLINTON,281,2
2020,SOUTH DAKOTA,MINER,DONALD J TRUMP,787,1
2020,SOUTH DAKOTA,MINER,JOSEPH R BIDEN JR,320,2
2000,WEST VIRGINIA,MINERAL,GEORGE W. BUSH,6180,1
2000,WEST VIRGINIA,MINERAL,AL GORE,3341,2
2004,WEST VIRGINIA,MINERAL,GEORGE W. BUSH,7854,1
2004,WEST VIRGINIA,MINERAL,JOHN KERRY,3518,2
2008,WEST VIRGINIA,MINERAL,JOHN MCCAIN,7616,1
2008,WEST VIRGINIA,MINERAL,BARACK OBAMA,3750,2
2012,WEST VIRGINIA,MINERAL,MITT ROMNEY,7833,1
2012,WEST VIRGINIA,MINERAL,BARACK OBAMA,2885,2
2016,WEST VIRGINIA,MINERAL,DONALD TRUMP,9070,1
2016,WEST VIRGINIA,MINERAL,HILLARY CLINTON,2050,2
2020,WEST VIRGINIA,MINERAL,DONALD J TRUMP,10040,1
2020,WEST VIRGINIA,MINERAL,JOSEPH R BIDEN JR,2660,2
2000,WEST VIRGINIA,MINGO,AL GORE,6049,1
2000,WEST VIRGINIA,MINGO,GEORGE W. BUSH,3866,2
2004,WEST VIRGINIA,MINGO,JOHN KERRY,5983,1
2004,WEST VIRGINIA,MINGO,GEORGE W. BUSH,4612,2
2008,WEST VIRGINIA,MINGO,JOHN MCCAIN,4587,1
2008,WEST VIRGINIA,MINGO,BARACK OBAMA,3582,2
2012,WEST VIRGINIA,MINGO,MITT ROMNEY,6191,1
2012,WEST VIRGINIA,MINGO,BARACK OBAMA,2428,2
2016,WEST VIRGINIA,MINGO,DONALD TRUMP,7911,1
2016,WEST VIRGINIA,MINGO,HILLARY CLINTON,1370,2
2020,WEST VIRGINIA,MINGO,DONALD J TRUMP,8544,1
2020,WEST VIRGINIA,MINGO,JOSEPH R BIDEN JR,1397,2
2000,IDAHO,MINIDOKA,GEORGE W. BUSH,4907,1
2000,IDAHO,MINIDOKA,AL GORE,1344,2
2004,IDAHO,MINIDOKA,GEORGE W. BUSH,5797,1
2004,IDAHO,MINIDOKA,JOHN KERRY,1331,2
2008,IDAHO,MINIDOKA,JOHN MCCAIN,5087,1
2008,IDAHO,MINIDOKA,BARACK OBAMA,1630,2
2012,IDAHO,MINIDOKA,MITT ROMNEY,5442,1
2012,IDAHO,MINIDOKA,BARACK OBAMA,1390,2
2016,IDAHO,MINIDOKA,DONALD TRUMP,4887,1
2016,IDAHO,MINIDOKA,HILLARY CLINTON,1167,2
2020,IDAHO,MINIDOKA,DONALD J TRUMP,6265,1
2020,IDAHO,MINIDOKA,JOSEPH R BIDEN JR,1550,2
2000,SOUTH DAKOTA,MINNEHAHA,GEORGE W. BUSH,33428,1
2000,SOUTH DAKOTA,MINNEHAHA,AL GORE,27042,2
2004,SOUTH DAKOTA,MINNEHAHA,GEORGE W. BUSH,44189,1
2004,SOUTH DAKOTA,MINNEHAHA,JOHN KERRY,32314,2
2008,SOUTH DAKOTA,MINNEHAHA,BARACK OBAMA,39838,1
2008,SOUTH DAKOTA,MINNEHAHA,JOHN MCCAIN,39251,2
2012,SOUTH DAKOTA,MINNEHAHA,MITT ROMNEY,40342,1
2012,SOUTH DAKOTA,MINNEHAHA,BARACK OBAMA,34674,2
2016,SOUTH DAKOTA,MINNEHAHA,DONALD TRUMP,42043,1
2016,SOUTH DAKOTA,MINNEHAHA,HILLARY CLINTON,30610,2
2020,SOUTH DAKOTA,MINNEHAHA,DONALD J TRUMP,49249,1
2020,SOUTH DAKOTA,MINNEHAHA,JOSEPH R BIDEN JR,40482,2
2000,MICHIGAN,MISSAUKEE,GEORGE W. BUSH,4274,1
2000,MICHIGAN,MISSAUKEE,AL GORE,2062,2
2004,MICHIGAN,MISSAUKEE,GEORGE W. BUSH,5055,1
2004,MICHIGAN,MISSAUKEE,JOHN KERRY,2319,2
2008,MICHIGAN,MISSAUKEE,JOHN MCCAIN,4469,1
2008,MICHIGAN,MISSAUKEE,BARACK OBAMA,2898,2
2012,MICHIGAN,MISSAUKEE,MITT ROMNEY,4665,1
2012,MICHIGAN,MISSAUKEE,BARACK OBAMA,2274,2
2016,MICHIGAN,MISSAUKEE,DONALD TRUMP,5386,1
2016,MICHIGAN,MISSAUKEE,HILLARY CLINTON,1565,2
2020,MICHIGAN,MISSAUKEE,DONALD J TRUMP,6648,1
2020,MICHIGAN,MISSAUKEE,JOSEPH R BIDEN JR,1967,2
2000,ARKANSAS,MISSISSIPPI,AL GORE,7107,1
2000,ARKANSAS,MISSISSIPPI,GEORGE W. BUSH,5199,2
2004,ARKANSAS,MISSISSIPPI,JOHN KERRY,7593,1
2004,ARKANSAS,MISSISSIPPI,GEORGE W. BUSH,6121,2
2008,ARKANSAS,MISSISSIPPI,JOHN MCCAIN,6976,1
2008,ARKANSAS,MISSISSIPPI,BARACK OBAMA,6667,2
2012,ARKANSAS,MISSISSIPPI,MITT ROMNEY,6603,1
2012,ARKANSAS,MISSISSIPPI,BARACK OBAMA,6467,2
2016,ARKANSAS,MISSISSIPPI,DONALD TRUMP,7061,1
2016,ARKANSAS,MISSISSIPPI,HILLARY CLINTON,5670,2
2020,ARKANSAS,MISSISSIPPI,DONALD J TRUMP,5042,1
2020,MISSOURI,MISSISSIPPI,DONALD J TRUMP,3537,2
2000,MONTANA,MISSOULA,GEORGE W. BUSH,21474,1
2000,MONTANA,MISSOULA,AL GORE,17241,2
2004,MONTANA,MISSOULA,JOHN KERRY,26983,1
2004,MONTANA,MISSOULA,GEORGE W. BUSH,23989,2
2008,MONTANA,MISSOULA,BARACK OBAMA,36531,1
2008,MONTANA,MISSOULA,JOHN MCCAIN,20743,2
2012,MONTANA,MISSOULA,BARACK OBAMA,32824,1
2012,MONTANA,MISSOULA,MITT ROMNEY,22652,2
2016,MONTANA,MISSOULA,HILLARY CLINTON,31543,1
2016,MONTANA,MISSOULA,DONALD TRUMP,22250,2
2020,MONTANA,MISSOULA,JOSEPH R BIDEN JR,43357,1
2020,MONTANA,MISSOULA,DONALD J TRUMP,26347,2
2000,NORTH CAROLINA,MITCHELL,GEORGE W. BUSH,4984,1
2000,GEORGIA,MITCHELL,AL GORE,2971,2
2004,NORTH CAROLINA,MITCHELL,GEORGE W. BUSH,5686,1
2004,GEORGIA,MITCHELL,GEORGE W. BUSH,3885,2
2008,NORTH CAROLINA,MITCHELL,JOHN MCCAIN,5499,1
2008,GEORGIA,MITCHELL,JOHN MCCAIN,4201,2
2012,NORTH CAROLINA,MITCHELL,MITT ROMNEY,5806,1
2012,GEORGIA,MITCHELL,MITT ROMNEY,4155,2
2016,NORTH CAROLINA,MITCHELL,DONALD TRUMP,6282,1
2016,GEORGIA,MITCHELL,DONALD TRUMP,4279,2
2020,NORTH CAROLINA,MITCHELL,DONALD J TRUMP,5099,1
2020,GEORGIA,MITCHELL,DONALD J TRUMP,2701,2
2000,ALABAMA,MOBILE,GEORGE W. BUSH,78162,1
